id,dt,age,platform,state_id,monthly_cost,commission_rate,gender,session_time,membership_level,household_income,has_sale
4307,2023-01-12,33,desktop,6,149.53,0.1,M,3490,Silver,33534.97,0
3196,2023-01-12,45,desktop,36,148.49,0.1,F,3408,Silver,30794.79,0
4468,2023-01-08,40,,31,189.78,0.1,F,409,Gold,10643.02,0
7248,2023-01-31,51,mobile,41,176.53,0.1,F,1073,Platinum,42986.91,0
2691,2023-01-03,30,mobile,14,88.09,0.1,M,1956,Bronze,38324.76,1
7583,2023-02-03,26,desktop,35,192.17,0.1,M,338,Silver,21492.5,1
6174,2023-02-15,38,desktop,38,213.51,0.1,F,2767,Silver,21313.36,1
9786,2023-02-03,59,mobile,13,174.65,0.1,F,983,Bronze,12090.86,0
8348,2023-02-09,26,mobile,13,194.02,0.1,M,2518,,49596.46,0
5400,2023-01-25,37,mobile,13,179.23,0.1,M,3175,Bronze,24504.55,0
816,2023-01-13,37,desktop,12,227.64,0.1,M,415,Gold,16536.39,1
7296,2023-02-14,23,desktop,13,182.76,0.1,M,3323,Silver,16588.36,0
5478,2023-01-13,35,mobile,0,167.77,0.1,M,591,Silver,20524.26,1
8220,2023-01-10,34,desktop,13,178.37,0.1,M,3398,Gold,22766.31,1
8267,2023-01-06,34,,14,172.43,0.1,M,3193,Bronze,36195.42,1
2034,2023-01-23,21,mobile,12,106.28,0.1,M,217,,14749.85,0
1450,2023-02-11,24,desktop,38,152.39,0.1,M,202,Silver,10000.0,0
8023,2023-01-18,43,desktop,47,173.16,0.1,M,2995,Platinum,19045.32,0
6067,2023-01-04,39,desktop,50,215.82,0.1,M,319,,26903.34,1
2132,2023-01-11,41,desktop,37,176.85,0.1,F,2847,Silver,11353.02,0
2166,2023-01-15,22,mobile,42,191.6,0.1,F,454,Gold,13517.64,0
9260,2023-01-06,25,mobile,13,195.35,0.1,M,2794,Bronze,15476.56,0
8374,2023-02-02,35,mobile,12,178.02,0.1,F,2561,Bronze,10000.0,0
3446,2023-01-08,40,mobile,46,174.46,0.1,F,3484,Gold,16845.5,0
3932,2023-01-05,40,,22,194.69,0.1,M,910,Bronze,20309.39,0
3197,2023-01-28,33,desktop,49,108.38,0.1,M,1047,,101141.63,1
3410,2023-01-10,42,desktop,13,201.15,0.1,F,1972,Bronze,26667.77,0
9428,2023-02-11,28,mobile,13,179.47,0.1,M,2502,Bronze,30647.09,0
7530,2023-02-13,41,desktop,9,179.72,0.1,M,370,Bronze,20495.12,0
3673,2023-01-17,24,mobile,13,168.91,0.1,M,2799,Silver,12398.3,0
3199,2023-02-12,50,desktop,28,195.27,0.1,F,567,Gold,22123.25,0
6737,2023-01-20,18,desktop,49,200.39,0.1,M,2187,Silver,21881.52,1
4066,2023-01-04,22,desktop,18,186.56,0.1,M,2128,Bronze,22596.58,0
2540,2023-02-04,38,mobile,11,118.57,0.1,F,2464,Bronze,10089.72,0
4962,2023-01-05,28,desktop,13,159.66,0.1,F,1598,Bronze,55331.83,1
4301,2023-01-20,41,mobile,23,187.74,0.1,M,300,Silver,33166.76,0
8860,2023-01-19,29,desktop,29,203.76,0.1,M,1571,Bronze,15821.11,0
3114,2023-01-20,37,mobile,45,144.85,0.1,F,1188,Bronze,36014.24,0
1544,2023-02-05,44,mobile,12,140.51,0.1,F,3470,Bronze,24528.51,0
5993,2023-02-07,31,mobile,36,183.07,0.1,M,2960,Silver,35858.81,1
2635,2023-01-05,27,mobile,35,106.03,0.1,F,433,Silver,50479.74,0
7839,2023-02-05,29,mobile,48,167.77,0.1,M,2924,Bronze,20591.49,0
2143,2023-01-22,47,mobile,4,163.86,0.1,F,653,Bronze,17665.18,0
3074,2023-02-13,43,desktop,13,80.54,0.1,M,1479,Gold,11427.6,0
7475,2023-01-09,21,mobile,13,173.97,0.1,M,2797,Silver,16374.07,0
8339,2023-01-24,41,mobile,13,187.7,0.1,M,3462,Silver,28682.2,0
1920,2023-01-02,32,mobile,12,156.13,0.1,F,1021,Silver,50410.49,1
8864,2023-01-31,33,desktop,49,184.39,0.1,F,883,,10000.0,0
7540,2023-01-05,34,,39,177.72,0.1,F,3569,Silver,34068.92,0
9829,2023-02-08,30,mobile,22,176.1,0.1,M,345,Platinum,34414.72,0
6298,2023-01-03,47,mobile,13,195.46,0.1,F,2149,Bronze,10496.43,0
6010,2023-02-15,40,desktop,43,199.3,0.1,M,987,Bronze,11995.38,1
4190,2023-02-09,29,,13,143.04,0.1,M,1927,Bronze,33161.98,1
1296,2023-01-12,39,desktop,41,131.0,0.1,F,692,Bronze,12912.45,0
2453,2023-01-30,35,desktop,45,102.15,0.1,F,127,Bronze,15285.0,1
278,2023-01-25,33,desktop,38,148.61,0.1,F,416,Bronze,22551.4,1
86,2023-01-24,28,mobile,13,156.78,0.1,F,3140,Platinum,19374.77,0
4417,2023-01-15,36,mobile,2,178.41,0.1,F,3099,Bronze,14628.98,0
2341,2023-01-24,26,,7,102.89,0.1,M,3196,Silver,17538.51,0
5611,2023-01-12,34,desktop,49,178.59,0.1,M,1371,Silver,19933.12,1
6039,2023-02-05,35,mobile,41,178.92,0.1,M,185,Bronze,25471.06,0
2033,2023-01-20,32,mobile,0,131.89,0.1,M,1778,Silver,21434.08,0
4809,2023-01-07,32,desktop,43,170.37,0.1,F,2465,Bronze,21573.21,0
7512,2023-01-16,36,mobile,36,172.84,0.1,M,446,Bronze,22809.38,0
6273,2023-01-28,28,mobile,4,173.98,0.1,M,426,Gold,18820.96,0
5910,2023-01-24,38,mobile,45,175.9,0.1,F,2230,Bronze,44273.34,1
4103,2023-01-21,46,desktop,37,208.61,0.1,F,2874,Silver,24691.58,0
2922,2023-01-08,47,mobile,49,174.7,0.1,M,2332,Silver,31311.71,0
1396,2023-02-12,33,mobile,32,169.71,0.1,M,3129,Bronze,14728.16,0
4287,2023-01-12,28,desktop,7,188.82,0.1,M,1299,Silver,14431.53,0
5418,2023-01-25,33,desktop,13,195.87,0.1,M,260,Bronze,27691.84,0
6333,2023-01-26,22,mobile,36,218.32,0.1,M,278,Gold,31953.62,0
4195,2023-02-05,21,mobile,36,158.74,0.1,M,555,Bronze,10157.45,0
4463,2023-01-02,37,mobile,36,200.23,0.1,M,2812,Silver,18857.69,0
9200,2023-01-23,35,mobile,13,178.88,0.1,M,1718,Silver,20911.14,0
3049,2023-01-05,45,mobile,12,163.3,0.1,M,329,Silver,24642.77,0
3214,2023-01-09,30,desktop,14,41.06,0.1,M,3513,Silver,10831.07,0
5482,2023-01-01,25,,43,205.84,0.1,M,1442,Bronze,12662.28,0
6076,2023-02-13,37,desktop,14,189.82,0.1,F,1296,Bronze,18192.0,0
9677,2023-02-14,25,mobile,25,166.35,0.1,M,2571,Silver,20154.52,0
3384,2023-02-01,22,desktop,36,181.15,0.1,M,177,Bronze,10000.0,1
5429,2023-02-15,37,mobile,13,219.42,0.1,M,167,Silver,25319.03,0
936,2023-01-30,46,mobile,40,107.57,0.1,F,687,Gold,32073.94,0
1414,2023-01-22,37,,11,111.5,0.1,M,960,Silver,12584.29,0
2749,2023-01-29,61,mobile,12,108.69,0.1,F,80,Bronze,81054.97,0
6324,2023-01-01,18,desktop,41,193.72,0.1,M,812,Bronze,13897.46,0
1500,2023-01-25,42,mobile,13,82.73,0.1,F,3224,Bronze,15176.43,0
8579,2023-02-04,32,desktop,49,164.31,0.1,M,426,Bronze,21149.98,1
7939,2023-01-07,18,mobile,13,145.2,0.1,M,2322,Bronze,23368.52,0
2638,2023-02-13,62,mobile,12,123.29,0.1,F,3000,Platinum,10000.0,1
183,2023-01-31,32,mobile,28,166.45,0.1,M,3451,Silver,11858.65,0
7501,2023-01-21,33,mobile,21,192.24,0.1,M,3517,Bronze,24693.09,0
8968,2023-02-06,40,mobile,36,186.93,0.1,F,3220,Bronze,20554.88,0
1506,2023-01-28,33,mobile,36,37.29,0.1,M,3575,,34433.89,0
9060,2023-01-31,23,mobile,21,223.72,0.1,M,3446,Bronze,66243.61,0
3001,2023-01-19,36,mobile,13,93.32,0.1,M,586,Silver,21644.62,0
771,2023-01-23,43,,36,111.57,0.1,F,3024,Bronze,23441.3,0
813,2023-01-27,34,mobile,13,81.47,0.1,F,1811,Bronze,25268.42,0
9289,2023-02-15,34,desktop,49,194.91,0.1,M,2443,Bronze,14196.85,1
4845,2023-01-30,23,mobile,12,173.18,0.1,M,2179,Bronze,34566.1,0
6842,2023-02-03,28,mobile,13,198.47,0.1,M,230,,31980.1,0
9485,2023-02-03,30,mobile,13,169.62,0.1,M,3473,Silver,21807.42,0
3306,2023-02-08,28,mobile,12,186.41,0.1,F,356,Bronze,24865.92,1
2772,2023-02-03,30,mobile,12,128.84,0.1,M,1586,Silver,17374.02,1
6484,2023-02-07,38,,13,145.16,0.1,M,342,Bronze,20390.03,1
2239,2023-02-08,52,,11,79.46,0.1,F,3544,,22769.88,0
8051,2023-01-07,42,desktop,15,201.64,0.1,F,1367,Silver,12585.45,0
4189,2023-02-05,21,mobile,33,151.77,0.1,M,367,Bronze,51893.33,0
8237,2023-01-14,32,desktop,13,195.02,0.1,M,651,Bronze,35109.83,0
257,2023-01-30,30,desktop,25,116.58,0.1,F,383,Silver,58999.37,1
6109,2023-01-17,27,mobile,12,163.9,0.1,M,3390,,19665.73,1
5259,2023-01-14,19,mobile,36,186.35,0.1,M,2720,Silver,10000.0,0
3730,2023-01-24,36,mobile,29,175.77,0.1,M,3294,Platinum,17577.28,0
5384,2023-01-09,34,,0,174.32,0.1,M,1196,Silver,30937.56,0
2959,2023-02-08,43,mobile,45,167.77,0.1,F,2106,Silver,23137.39,0
3807,2023-01-20,38,,6,167.69,0.1,M,639,Silver,37429.56,0
6355,2023-02-04,27,mobile,36,209.64,0.1,M,3131,Bronze,26338.12,0
8714,2023-01-20,20,desktop,29,177.15,0.1,F,3544,Silver,19627.04,0
4047,2023-01-10,18,mobile,13,169.47,0.1,M,3451,Silver,34859.76,0
4342,2023-01-31,27,desktop,45,179.23,0.1,M,1704,Silver,30089.7,0
9103,2023-01-24,34,mobile,5,197.9,0.1,M,826,Gold,17519.38,1
3200,2023-01-16,31,mobile,30,121.67,0.1,F,2749,Gold,24498.8,0
3249,2023-01-02,37,desktop,49,125.9,0.1,M,1005,Bronze,23103.15,1
7884,2023-01-18,18,mobile,13,210.44,0.1,M,1669,Silver,14038.72,0
6459,2023-02-06,18,desktop,50,188.68,0.1,M,465,Platinum,34296.83,0
2141,2023-01-11,43,mobile,40,30.2,0.1,F,2320,Gold,15990.86,0
2317,2023-01-15,39,mobile,36,83.79,0.1,F,2040,Bronze,23286.37,0
3653,2023-01-23,24,desktop,6,202.79,0.1,F,1528,Silver,14365.39,0
1073,2023-02-02,44,mobile,13,146.41,0.1,F,738,Silver,19057.35,0
623,2023-01-09,42,mobile,33,152.56,0.1,M,919,Platinum,46205.35,0
9685,2023-01-02,40,desktop,13,170.31,0.1,M,3565,Silver,12396.07,0
632,2023-01-12,41,mobile,13,72.7,0.1,F,3123,Platinum,16863.98,0
4718,2023-01-24,30,mobile,13,143.86,0.1,M,2617,Bronze,20321.7,1
1439,2023-02-06,45,desktop,46,176.91,0.1,F,3248,Bronze,26005.21,0
3119,2023-01-15,30,mobile,41,149.73,0.1,F,1951,Silver,15616.62,0
4527,2023-01-08,32,desktop,33,178.26,0.1,M,3016,,22193.42,0
8219,2023-02-15,50,mobile,17,181.85,0.1,F,1505,Gold,39202.29,0
2147,2023-01-17,42,desktop,27,92.81,0.1,F,143,Silver,27881.15,0
277,2023-02-01,57,mobile,49,105.48,0.1,F,2340,Bronze,23327.36,0
5975,2023-01-27,36,desktop,13,167.65,0.1,F,2995,Silver,15348.11,1
7511,2023-02-01,25,desktop,49,197.52,0.1,M,501,Bronze,53900.92,0
271,2023-01-28,18,mobile,49,118.98,0.1,M,2143,Bronze,18218.18,0
2131,2023-01-08,39,mobile,9,162.04,0.1,F,1775,Bronze,16858.33,1
7685,2023-01-04,29,mobile,20,195.61,0.1,M,2383,Bronze,20472.3,1
2700,2023-02-15,26,,7,73.41,0.1,M,2735,Bronze,20431.57,1
4184,2023-02-10,25,desktop,13,167.99,0.1,M,1731,Silver,53852.39,1
7533,2023-01-12,53,mobile,13,172.26,0.1,F,1828,Gold,11791.5,0
6540,2023-02-06,30,desktop,4,154.08,0.1,M,3381,,17509.26,1
2234,2023-02-05,18,desktop,47,47.71,0.1,M,2061,Silver,23036.5,0
8020,2023-01-18,26,desktop,18,191.89,0.1,M,3195,Bronze,11800.85,0
9363,2023-01-28,26,mobile,40,191.49,0.1,M,76,Silver,34710.53,0
7899,2023-01-04,46,mobile,13,193.04,0.1,M,633,Bronze,21561.74,0
5798,2023-02-08,18,mobile,13,187.82,0.1,M,3438,Platinum,25261.35,0
3167,2023-01-07,33,mobile,42,185.6,0.1,F,3446,Gold,25236.11,0
9697,2023-02-10,32,mobile,44,210.35,0.1,F,451,Bronze,15815.65,0
2817,2023-02-13,34,mobile,9,107.49,0.1,F,1163,Bronze,17586.56,0
8586,2023-02-09,29,mobile,49,127.4,0.1,M,2729,Gold,28043.1,0
5046,2023-01-03,54,desktop,49,166.86,0.1,F,1400,Silver,18358.78,0
2002,2023-01-28,22,mobile,18,130.53,0.1,M,1258,Bronze,35246.18,0
8144,2023-01-09,31,mobile,36,214.28,0.1,M,253,Gold,14068.91,0
5104,2023-01-08,18,mobile,47,158.68,0.1,M,2724,Platinum,30855.17,0
5215,2023-02-07,43,desktop,34,127.96,0.1,M,817,Silver,34271.95,1
9601,2023-01-23,32,mobile,31,154.58,0.1,M,878,Bronze,22321.25,0
7002,2023-01-03,37,mobile,22,193.96,0.1,M,3558,Gold,19938.64,1
9358,2023-01-25,42,desktop,36,196.88,0.1,M,3229,Bronze,16561.18,1
3580,2023-01-04,35,desktop,13,181.52,0.1,M,1955,Bronze,21786.04,0
3811,2023-01-17,32,mobile,36,195.79,0.1,F,2251,Bronze,10000.0,1
1892,2023-02-13,41,desktop,30,50.9,0.1,M,3515,Silver,31592.22,1
9115,2023-01-13,38,desktop,12,148.19,0.1,M,2295,Silver,18266.86,1
3545,2023-01-18,23,mobile,12,174.12,0.1,M,1518,Platinum,21856.94,0
4627,2023-01-04,19,,44,184.76,0.1,M,2024,Silver,32465.17,0
8941,2023-01-30,25,mobile,42,153.99,0.1,M,3205,Bronze,33305.36,0
7951,2023-01-05,32,mobile,30,167.67,0.1,M,1288,Silver,12593.38,1
8752,2023-01-24,50,mobile,13,226.73,0.1,M,1343,Silver,21554.3,0
9702,2023-01-28,35,mobile,13,161.4,0.1,F,268,Silver,10000.0,0
4797,2023-01-12,18,mobile,21,192.28,0.1,M,606,Bronze,25424.93,0
7269,2023-02-05,35,mobile,12,156.42,0.1,M,3176,Gold,31419.28,1
6807,2023-02-14,18,desktop,36,182.22,0.1,M,2964,Silver,28714.11,0
7731,2023-01-01,27,mobile,13,199.01,0.1,M,3180,Bronze,49134.7,0
5152,2023-01-12,35,mobile,12,185.63,0.1,M,3429,Bronze,48251.75,0
4746,2023-02-02,45,mobile,22,146.49,0.1,F,2076,Platinum,36130.68,0
5151,2023-01-08,48,mobile,26,192.07,0.1,F,368,Silver,24508.28,0
809,2023-01-11,41,mobile,47,174.12,0.1,F,1515,Silver,24433.41,1
2526,2023-02-07,52,mobile,13,121.15,0.1,F,934,Bronze,12791.76,0
